,rank,name,opus,versions,duration,composer_name,composer_life
101,14,Carnaval,9,6,31m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
102,15,3 Romances op. 94,94,1,7m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
103,16,Adagio and Allegro,70,2,9m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
104,17,Violin concerto in D minor,W23,2,32m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
105,18,3 Romances op. 28,28,4,6m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
106,19,Piano Quintet,44,3,32m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
107,20,Piano Quartet in E flat major,47,2,29m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
108,1,"Trio in G minor for piano, violin and cello",17,1,3m,Clara Schumann,13 sep 1819 (Leipzig) -  20 may 1896 (Frankfurt am Main)
109,2,3 Preludes and Fugues for Piano,16,1,2m,Clara Schumann,13 sep 1819 (Leipzig) -  20 may 1896 (Frankfurt am Main)
110,3,Scherzo for Piano no 2 in C minor,14,1,4m,Clara Schumann,13 sep 1819 (Leipzig) -  20 may 1896 (Frankfurt am Main)
111,1,Die Schöpfung (The Creation),21:2,5,105m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
112,2,"Symphony no. 94 ""Surprise""",1:94,2,25m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
113,3,10 Menuets for piano,9:22,1,7m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
114,4,Piano Sonata No. 59 in E flat major,16:49,1,19m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
115,5,"Symphony no. 104 ""london""",1:104,2,29m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
116,6,"Missa in Tempore Belli ""Paukenmesse""",22:9,1,41m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
117,7,Violin concerto no. 4 in G major,7a:4,1,20m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
118,8,"Missa Brevis ""Sancti Joannis de Deo""",22:7,1,17m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
119,9,"Symphony no. 100 ""Military""",1:100,2,25m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
120,10,32 Pieces for mechanical clock (Flötenuhr),19,1,23m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
121,11,"Mass in D minor """"Lord Nelson""",22:11,3,42m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
122,12,London Trio no.1 in C major,4:1,1,8m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
123,13,Piano concerto in D major H. 18:11,18:11,2,18m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
124,14,"Missa Sancti Nicholai ""St. Nicholas Mass""",22:6,1,5m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
125,15,Trumpet Concerto,7e:1,2,15m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
126,16,Piano Sonata No. 60 in C major,16:50,3,16m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
127,17,Piano Sonata No. 50 in D major,16:37,2,10m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
128,18,"String quartet in D major ""The Lark""",3:63,2,17m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
129,19,"Symphony no. 101 ""Clock""",1:101,2,29m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
130,20,Symphony no. 34,1:34,1,15m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
131,1,24 Caprices,1,2,69m,Niccolò Paganini,27 oct 1782 (Genua) -  27 may 1840 (Nice)
132,4,Concerto no. 1 in D major,6,2,26m,Niccolò Paganini,27 oct 1782 (Genua) -  27 may 1840 (Nice)
133,1,Cello Suite No. 1 in G major,1007,6,21m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
134,2,Brandenburg Concerto No. 1,1046,2,24m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
135,3,Toccata and Fugue in d minor,565,7,11m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
136,4,5 Little Preludes (BWV939-943),939+,2,5m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
137,5,Violin Sonata No. 1 in G minor,1001,4,19m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
138,6,Well-Tempered Clavier I,846+,31,132m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
139,7,St. Matthew Passion,244,4,196m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
140,8,Orchestral Suite No. 3 in D (contains Air on the G string),1068,6,18m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
141,9,Violin Partita no. 2 in D minor,1004,5,27m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
142,10,Goldberg Variations,988,13,82m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
143,11,Mass in B minor,232,4,122m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
144,12,Magnificat in D Major,243,6,31m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
145,13,"Fugue in G minor ""Little""",578,3,4m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
146,14,Concerto for 2 violins in D minor,1043,2,18m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
147,15,Two-part inventions,772+,17,27m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
148,16,Cello Suite No. 3 in C,1009,5,23m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
149,17,Art of fugue (Die Kunst der Fuge),1080,1,35m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
150,18,Herz und Mund und Tat und Leben (contains Jesu joy of man's desiring),147,6,7m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
151,19,Brandenburg Concerto No. 3,1048,4,20m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
152,20,"Ach bleib bei uns, Herr Jesu Christ BWV649",649,4,4m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
153,1,Sonatina Op.36 No.1 in C major,36:1,4,4m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
154,2,Sonatina Op.36 No.3 in C major,36:3,2,6m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
155,3,Sonatina Op.36 No.2 in G major,36:2,2,5m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
156,4,Sonatina Op.36 No.6 in D major,36:6,1,7m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
157,5,Sonatina Op.36 No.4 in F major,36:4,1,7m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
158,6,Sonatina Op.36 No.5 in G major,36:5,1,6m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
159,7,Piano sonata in E flat op. 24 no. 3,24:3,1,13m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
160,8,"Piano Sonata in G Minor ""Didone Abbandonata""",50:3,1,24m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
161,9,Piano Sonata No. 5 in F Sharp Minor Op. 25,25:5,1,12m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
162,10,Sonata in B flat Major,24:2,1,14m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
163,11,Piano Sonata no. 6 in D major op. 25,25:6,1,11m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
164,1,Sonatina in A major,167,1,14m,Carl Czerny,21 feb 1791 (Vienna) -  15 jul 1857 (Vienna)
