,rank,name,opus,versions,duration,composer_name,composer_life
170,1,12 Transcendental Etudes,139,9,64m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
171,2,Hungarian Rhapsodies,244,9,124m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
172,3,Liebesträume: 3 Notturnos,541,6,6m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
173,4,Piano Concerto No. 1 in E flat,124,4,20m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
174,5,Piano Sonata in B minor,178,9,35m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
175,6,Mephisto Waltz No 1,514,5,13m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
176,7,3 concert etudes,144,5,6m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
177,8,Piano Concerto No. 2 in A major,125,1,23m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
178,9,12 Lieder (Schubert),558,4,10m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
179,10,Les Préludes (v2),511a,1,16m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
180,11,Hungarian Rhapsodies for orchestra (Doppler),359,2,65m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
181,12,Années de pèlerinage I,160,14,51m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
182,13,6 trancendental etudes after Paganini (v2),141,3,6m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
183,14,2 concert etudes,145,1,4m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
184,15,"Totentanz Paraphrase on ""Dies Irae""",126ii,2,16m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
185,16,"Waltz from Gounod's ""Faust""",407,1,8m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
186,17,Les Preludes (orch),97,2,16m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
187,18,Consolations,172,5,19m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
188,19,6 Chants Polonais (Chopin),480,3,7m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
189,20,Widmung (Schumann),566,3,5m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
190,1,Sonatina in A major,167,1,14m,Carl Czerny,21 feb 1791 (Vienna) -  15 jul 1857 (Vienna)
191,1,Sonatina Op.36 No.1 in C major,36:1,4,4m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
192,2,Sonatina Op.36 No.3 in C major,36:3,2,6m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
193,3,Sonatina Op.36 No.2 in G major,36:2,2,5m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
194,4,Sonatina Op.36 No.6 in D major,36:6,1,7m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
195,5,Sonatina Op.36 No.4 in F major,36:4,1,7m,Muzio Clementi,23 jan 1752 (Roma) -  10 mar 1832 (Evesham)
